taxonomic_group,mobility_category,commercial_value
Acanthuridae,mobile,commercial
Acanthuridae and Carangidae,mobile,commercial
Acanthurus bahianus,mobile,commercial
Acanthurus coeruleus,mobile,commercial
All fish species,mobile,commercial
Chaetodon striatus,sedentary,non commercial
Chaetodontidae,sedentary,non commercial
Cymbula oculus adults,sessile,commercial
Cymbula oculus recruits,sessile,non commercial
Diplodus puntazzo,mobile,commercial
Diplodus sargus,mobile,commercial
Diplodus spp,mobile,commercial
Diplodus vulgaris,mobile,commercial
Epinephelus striatus,sedentary,commercial
Haemulon aurolineatum,mobile,commercial
Haemulon chrysargyreum,mobile,commercial
Haemulon flavolineatum,mobile,commercial
Herbivorous (Acanthuridae and Scaridae),mobile,commercial
"highly vagile targets (Acanthuridae (Naso spp.), Kyphosidae, Carangidae and Scombridae)",mobile,commercial
Holocentrus spp,sedentary,commercial
Jasus edwardsii,sedentary,commercial
large carnivores,mobile,commercial
large herbivores,mobile,commercial
Leptoscarus vaigiensis,mobile,commercial
Lethrinidae,mobile,commercial
Lethrinus mahsena,mobile,commercial
Lethrinus miniatus,mobile,commercial
Lobatus gigas,sessile,commercial
Microspathodon chrysurus,sedentary,non commercial
Mulloidichthys martinicus,mobile,commercial
Naso vlamingii,mobile,commercial
Non Resource fish,sedentary,non commercial
non targeted fish ,sedentary,non commercial
"non targeted fish (Pomacentridae, Chaetodontidae)",sedentary,non commercial
Nontrappable size fish,sedentary,non commercial
others,mobile,commercial
Palinurus elephas,sedentary,commercial
Panulirus interruptus legel sized,sedentary,commercial
Panulirus interruptus sub legel sized,sedentary,non commercial
Paralabrax clathratus fishing season,mobile,commercial
Paralabrax clathratus off season,mobile,commercial
"Piscivorous (Lutjanidae, Haemulidae, and Serranidae)",mobile,commercial
Plectorhinchus flavomaculatus,mobile,commercial
Pomacanthidae,sedentary,non commercial
Pomacentrus spp,sedentary,non commercial
Resource fish,mobile,commercial
Scaridae,mobile,commercial
Scarus spp,mobile,commercial
Scarus vetula,mobile,commercial
sea urchins (Paracentrotus lividus and Arbacia lixula),sessile,non commercial
sedentary targets (Haemulidae and Serranida),sedentary,commercial
Semicossyphus pulcher fishing season,sedentary,commercial
Semicossyphus pulcher off season,sedentary,commercial
Serranidae,sedentary,commercial
"Serranidae, Lutjanidae, Lethrinidae and Carangidae",mobile,commercial
Siganidae,mobile,commercial
Siganus sutor,mobile,commercial
small carnivores,mobile,commercial
targeted fish ,mobile,commercial
"targeted fish (Serranidae, Scaridae, Carangidae)",mobile,commercial
Tectus dentatus,sessile,commercial
total catch,mobile,commercial
Trappable fish (26 species),mobile,commercial
trappable size fish,mobile,commercial
Tridacna spp,sessile,commercial
"vagile targets (Acanthuridae, Ephippidae, Labridae, Lethrinidae, Lutjanidae, Mullidae, Scaridae and Siganidae)",mobile,commercial
Zebrasoma flavescens adults,mobile,non commercial
43 fish species,mobile,commercial
39 fish species,mobile,commercial
48 fish species,mobile,commercial
51 fish species,mobile,commercial
40 fish species,mobile,commercial